Te[K],Arr[m3/s],CSC_Maxwellian[m3/s]
4.1800000000000000e+03,7.2776291202578526e-29,6.6920714368165545e-34
4.1900000000000000e+03,7.9184524887599626e-29,7.4401204701292330e-34
4.2000000000000000e+03,8.6123151651566586e-29,8.2676490497703071e-34
4.2100000000000000e+03,9.3633212676726335e-29,9.1826562887062146e-34
4.2200000000000000e+03,1.0175869849225233e-28,1.0193901164876125e-33
4.2300000000000000e+03,1.1054674418164400e-28,1.1310970418093601e-33
4.2400000000000000e+03,1.2004783636150479e-28,1.2544352137745852e-33
4.2500000000000000e+03,1.3031603256898332e-28,1.3905514363878075e-33
4.2600000000000000e+03,1.4140919372548826e-28,1.5406988295054340e-33
4.2700000000000000e+03,1.5338923037582502e-28,1.7062463009741950e-33
4.2800000000000000e+03,1.6632236343475238e-28,1.8886886523355149e-33
4.2900000000000000e+03,1.8027940020703267e-28,2.0896574482510701e-33
4.3000000000000000e+03,1.9533602648257269e-28,2.3109327637352397e-33
4.3100000000000000e+03,2.1157311554507338e-28,2.5544558753683997e-33
4.3200000000000000e+03,2.2907705497092678e-28,2.8223429673276671e-33
4.3300000000000000e+03,2.4794009213486442e-28,3.1168999280507619e-33
4.3400000000000000e+03,2.6826069938015964e-28,3.4406383186505933e-33
4.3500000000000000e+03,2.9014395985404012e-28,3.7962925998586628e-33
4.3600000000000000e+03,3.1370197505348451e-28,4.1868386805193088e-33
4.3700000000000000e+03,3.3905429517266322e-28,4.6155132365675005e-33
4.3800000000000000e+03,3.6632837339119692e-28,5.0858349395751504e-33
4.3900000000000000e+03,3.9566004529198592e-28,5.6016280675006633e-33
4.4000000000000000e+03,4.2719403464882219e-28,6.1670474075959547e-33
4.4100000000000000e+03,4.6108448687726493e-28,6.7866050252426906e-33
4.4200000000000000e+03,4.9749553149747473e-28,7.4651990570530903e-33
4.4300000000000000e+03,5.3660187501491064e-28,8.2081446708978287e-33
4.4400000000000000e+03,5.7858942568397400e-28,9.0212073449168981e-33
4.4500000000000000e+03,6.2365595168093538e-28,9.9106386275444895e-33
4.4600000000000000e+03,6.7201177427597991e-28,1.0883214551191885e-32
4.4700000000000000e+03,7.2388049765971324e-28,1.1946276883481450e-32
4.4800000000000000e+03,7.7949977714744182e-28,1.3107776922316587e-32
4.4900000000000000e+03,8.3912212755459574e-28,1.4376320609923390e-32
4.5000000000000000e+03,9.0301577360929026e-28,1.5761220210398403e-32
4.5100000000000000e+03,9.7146554434291895e-28,1.7272549288307179e-32
4.5200000000000000e+03,1.0447738134771991e-27,1.8921200930867005e-32
4.5300000000000000e+03,1.1232614879060173e-27,2.0718950118692720e-32
4.5400000000000000e+03,1.2072690464531062e-27,2.2678520520335830e-32
4.5500000000000000e+03,1.2971576311718929e-27,2.4813656002577333e-32
4.5600000000000000e+03,1.3933101935418268e-27,2.7139197166439290e-32
4.5700000000000000e+03,1.4961326980065008e-27,2.9671163237933740e-32
4.5800000000000000e+03,1.6060553853924514e-27,3.2426839662732749e-32
4.5900000000000000e+03,1.7235340988443788e-27,3.5424871718572904e-32
4.6000000000000000e+03,1.8490516750120688e-27,3.8685361065103369e-32
4.6100000000000000e+03,1.9831194033271845e-27,4.2229968983284414e-32
